ID;Name;IMDB_Rating;Premiere;Finale ;Runtime_of_Episodes;Overview
195;The Leftovers;8.3;2014;2017;60;Three years after the disappearance of two percent of the global population, a group of people in a small New York community try to continue their lives while coping with the tragedy of the unexplained nature of the event.
196;American Crime Story;8.4;2016;null;42;An anthology series centered around America's most notorious crimes and criminals.
197;Terra Nova;6.8;2011;null;46;Centers on the Shannons, an ordinary family from 2149 when the planet is dying, who are transported back 85 million years to prehistoric Earth where they join Terra Nova, a colony of humans with a second chance to build a civilization.
198;Last Week Tonight with John Oliver;8.9;2014;null;30;Former Daily Show host and correspondent John Oliver brings his persona to this weekly news satire program.
199;Chilling Adventures of Sabrina;7.5;2018;2020;60;As her 16th birthday nears, Sabrina must choose between the witch world of her family and the human world of her friends. Based on the Archie comic.
200;Designated Survivor;7.5;2016;2019;60;A low-level Cabinet member becomes President of the United States after a catastrophic attack kills everyone above him in the line of succession.
201;Ray Donovan;8.3;2013;2020;60;"Ray Donovan, a professional ""fixer"" for the rich and famous in Los Angeles, can make anyone's problems disappear except those created by his own family."
202;CSI: Crime Scene Investigation;7.6;2000;2015;60;Series following an elite team of police forensic evidence investigation experts as they work their cases in Las Vegas.
203;Adventure Time;8.6;2010;2018;11;A 12-year-old boy and his best friend, wise 28-year-old dog with magical powers, go on a series of surreal adventures with each other in a remote future.
204;The King of Queens;7.3;1998;2007;22;Delivery man Doug Heffernan has a good life: He has a pretty wife (Carrie), a big television, and friends with which to watch it. Then Carrie's goofy and annoying father Arthur moves in with them.
205;Sacred Games;8.6;2018;2019;50;A link in their pasts leads an honest cop to a fugitive gang boss, whose cryptic warning spurs the officer on a quest to save Mumbai from cataclysm.
206;The Strain;7.3;2014;2017;43;A mysterious viral outbreak with hallmarks of an ancient and evil strain of vampirism ravages the city of New York.
207;American Gods;7.8;2017;null;60;"A recently released ex-convict named Shadow meets a mysterious man who calls himself ""Wednesday"" and who knows more than he first seems to about Shadow's life and past."
208;Louie;8.5;2010;2015;22;The life of Louie C.K., a divorced comedian living in New York with two kids.
209;Gravity Falls;8.9;2012;2016;23;Twin siblings Dipper and Mabel Pines spend the summer at their great-uncle's tourist trap in the enigmatic Gravity Falls, Oregon.
210;Frasier;8.1;1993;2004;22;Dr. Frasier Crane moves back to his hometown of Seattle, where he lives with his father, and works as a radio psychiatrist.
211;Merlin;7.9;2008;2012;45;These are the brand new adventures of Merlin, the legendary sorcerer as a young man, when he was just a servant to young Prince Arthur on the royal court of Camelot, who has soon become his best friend, and turned Arthur into a great king and a legend.
212;Agent Carter;7.9;2015;2016;42;In 1946, Peggy Carter is relegated to secretarial duties in the Strategic Scientific Reserve (SSR). When Howard Stark is accused of treason, he secretly recruits Peggy to clear his name with the help of his butler, Edwin Jarvis.
213;Da Vinci's Demons;8;2013;2015;59;Follows Leonardo Da Vinci during his early days in Florence, as a young artist, inventor and dreamer, trying to change the future.
214;The Shield;8.7;2002;2008;47;Follows the lives and cases of a dirty Los Angeles Police Department cop and the unit under his command.
215;One Tree Hill;7.7;2003;2012;60;Half-brothers Lucas and Nathan Scott trade between kinship and rivalry both on the basketball court and in the hearts of their friends in the small, but not so quiet town of Tree Hill, North Carolina.
216;Naruto;8.3;2002;2007;24;Naruto Uzumaki, a mischievous adolescent ninja, struggles as he searches for recognition and dreams of becoming the Hokage, the village's leader and strongest ninja.
217;One Piece: Wan p̨su;8.7;1999;null;24;"Follows the adventures of Monkey D. Luffy and his pirate crew in order to find the greatest treasure ever left by the legendary Pirate, Gold Roger. The famous mystery treasure named ""One Piece""."
218;Schitt's Creek;8.5;2015;2020;22;When rich video-store magnate Johnny Rose and his family suddenly find themselves broke, they are forced to leave their pampered lives to regroup in Schitt's Creek.
219;Billions;8.4;2016;null;60;"U.S. Attorney Chuck Rhoades goes after hedge fund king Bobby ""Axe"" Axelrod in a battle between two powerful New York figures."
220;The Tudors;8.1;2007;2010;60;A dramatic series about the reign and marriages of King Henry VIII.
221;Dragon Ball Z: Doragon b̫ru zetto;8.7;1989;1996;24;The adventures of Earth's martial arts defender Son Goku continue with a new family and the revelation of his alien origin. Now Goku and his allies must defend the planet from an onslaught of new extraterrestrial enemies.
222;The Good Wife;8.3;2009;2016;43;Alicia Florrick (Julianna Margulies) has been a good wife to her husband, a former state's attorney. After a very humiliating sex and corruption scandal, he is behind bars. She must now provide for her family and returns to work as a litigator in a law firm.
223;Burn Notice;7.9;2007;2013;44;A spy recently disavowed by the U.S. government uses his special ops training to help others in trouble.
224;Preacher;8;2016;2019;60;After a supernatural event at his church, a preacher enlists the help of a vampire and his ex to find God.
225;Monty Python's Flying Circus;8.8;1969;1974;30;The original surreal sketch comedy showcase for the Monty Python troupe.
226;Paranormal;8.1;2020;null;45;Set in the 1960s, the series, packed with mystery and suspense, depicts the adventures of PARANORMAL leading character Dr. Refaat Ismail, a single hematologist who finds himself faced with a series of supernatural events.
227;Veronica Mars;8.3;2004;2019;44;After her best friend is murdered, and her father is removed as county Sheriff, Veronica Mars dedicates her life to cracking the toughest mysteries in the affluent town of Neptune.
228;Scandal;7.7;2012;2018;43;A former White House Communications Director starts her own crisis management firm only to realize her clients are not the only ones with secrets.
229;Russian Doll;7.9;2019;null;30;A cynical young woman in New York City keeps dying and returning to the party that's being thrown in her honor on that same evening. She tries to find a way out of this strange time loop.
230;Hawaii Five-0;7.3;2010;2020;42;Steve McGarrett returns home to Oahu in order to find his father's killer
231;Titans;7.7;2018;null;45;A team of young superheroes combat evil and other perils.
232;Blindspot;7.4;2015;2020;42;Jane Doe is found in Times Square with no memory and mysterious tattoos on her body.
233;Master of None;8.3;2015;2017;30;The personal and professional life of Dev, a 30-year-old actor in New York.
234;Bob's Burgers;8.1;2011;null;22;Bob Belcher runs his dream restaurant with his wife and three children as their last hope of holding the family together.
235;Monk;8;2002;2009;44;The series follows Adrian Monk, a brilliant former San Francisco detective, who now consults the police as a private consultant who battles with an obsessive-compulsive disorder.
236;Girls;7.3;2012;2017;28;A comedy about the experiences of a group of girls in their early 20s.
237;Euphoria;8.4;2019;null;55;A look at life for a group of high school students as they grapple with issues of drugs, sex, and violence.
238;The West Wing;8.8;1999;2006;44;Inside the lives of staffers in the West Wing of the White House.
239;Marco Polo;8;2014;2016;60;"In a world replete with greed, betrayal, sexual intrigue and rivalry, ""Marco Polo"" is based on the famed explorer's adventures in Kublai Khan's court in 13th century Mongolia."
240;Ash vs Evil Dead;8.4;2015;2018;30;Ash has spent the last thirty years avoiding responsibility, maturity, and the terrors of the Evil Dead until a Deadite plague threatens to destroy all of mankind and Ash becomes mankind's only hope.
241;Angel;7.9;1999;2004;44;The vampire Angel, cursed with a soul, moves to Los Angeles and aids people with supernatural-related problems while questing for his own redemption.
242;Everybody Loves Raymond;7.1;1996;null;22;The comical everyday life of sports columnist Ray Barone and his dysfunctional family.
243;The Grand Tour;8.7;2016;null;60;Follow Jeremy, Richard, and James, as they embark on an adventure across the globe, driving new and exciting automobiles from manufacturers all over the world.
244;Star Wars: The Clone Wars;8.3;2008;2020;23;Jedi Knights lead the Grand Army of the Republic against the droid army of the Separatists.
245;Unbreakable Kimmy Schmidt;7.6;2015;2019;30;A woman is rescued from a doomsday cult and starts life over again in New York City.
